trial	started_at	finished_at	job_dir	trial_dir	reward	status
01	2026-05-10T19:05:59Z	2026-05-10T19:16:45Z	2026-05-11__00-36-00	harbor__yXGGniE	1.000000	completed
01	2026-05-10T19:06:09Z	2026-05-10T19:17:37Z	2026-05-11__00-36-09	harbor__aFxJPht	1.000000	completed
02	2026-05-10T19:16:45Z	2026-05-10T19:29:12Z	2026-05-11__00-46-46	harbor__VMSezLK	1.000000	completed
03	2026-05-10T19:29:12Z	2026-05-10T19:41:55Z	2026-05-11__00-59-13	harbor__WSp23MF	1.000000	completed
04	2026-05-10T19:41:55Z	2026-05-10T19:55:01Z	2026-05-11__01-11-55	harbor__df4XJxq	1.000000	completed
05	2026-05-10T19:55:01Z	2026-05-10T20:15:07Z	2026-05-11__01-25-01	harbor__U2tHMP9	1.000000	completed
